,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",3751564,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,Sommer,"Beatzarre & Djorkaeff",2656808,https://open.spotify.com/track/3sqZwhR5UFmHAh1KLXGOgq
3,"Ich darf das","Shirin David",2541839,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
4,DRILLA,Luciano,2419131,https://open.spotify.com/track/4P9lNdUhVPhwfVxZlgjWlL
5,"Liege wieder wach",Jamule,2400759,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
6,"I WANNA BE YOUR SLAVE",Måneskin,2373806,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
7,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",2244014,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
8,Rosenkrieg,Loredana,2182155,https://open.spotify.com/track/6DiaHETMcKdX7FwuGXwp1O
9,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2166212,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
10,GHETTOGIRL,Capo,2165815,https://open.spotify.com/track/3idbCPumlga23rxFA08fZE
11,Extasy,"187 Strassenbande",2007605,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
12,"MONTERO (Call Me By Your Name)","Lil Nas X",1928855,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
13,Beggin',Måneskin,1833789,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
14,"Drink Ist Kalt",BHZ,1655239,https://open.spotify.com/track/2CF0s1PAImWgGhEr7W6iY2
15,"Frag mich nicht","Miksu / Macloud",1618817,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
16,"BLESSED (feat. Capital Bra)",Cro,1615817,https://open.spotify.com/track/28tBoBognmn3BBdfjPzSw9
17,"ZITTI E BUONI",Måneskin,1552678,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
18,Madonna,Bausa,1524122,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
19,"Levitating (feat. DaBaby)","Dua Lipa",1468335,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
20,"Your Love (9PM)",ATB,1448649,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
21,"HAPPY BIRTHDAY (feat. Jamule)",Jamule,1399873,https://open.spotify.com/track/3bmhalgSjoDFfDwdu21aws
22,ELMAS,Luciano,1385267,https://open.spotify.com/track/37yAd2kwEI9axbB6UznrOQ
23,Frisch,01099,1364724,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
24,"Astronaut In The Ocean","Masked Wolf",1346730,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
25,"Alles nach Plan","187 Strassenbande",1340483,https://open.spotify.com/track/1fW5PpJSmPiVXAi0l92PHm
26,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1315185,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
27,"The Business",Tiësto,1271905,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
28,"Tu nicht so",badmómzjay,1268394,https://open.spotify.com/track/4rs0jr2tC1Qg32Fm7zfdsT
29,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1264016,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
30,"Wasted Love (feat. Lagique)",Ofenbach,1241708,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
31,"Cover Me In Sunshine",P!nk,1225516,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
32,"Vielen Dank","187 Strassenbande",1213464,https://open.spotify.com/track/4xN9cgMVhYyhnugUFZdhcZ
33,Durstlöscher,01099,1202607,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
34,Traffic,Lucio101,1190187,https://open.spotify.com/track/5KM1EXLcddixJNYv1Hqukk
35,"Iko Iko (My Bestie)","Justin Wellington",1184035,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
36,"Lost Cause","Billie Eilish",1182446,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
37,Flugangst,Fourty,1155521,https://open.spotify.com/track/35sMaFXKwu4q4o19iLpdxC
38,Rasputin,Majestic,1146986,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
39,"Leere Hände (feat. Sido & Samra)",SANTOS,1146829,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
40,"DU BIST DER FEHLER.",Lune,1106364,https://open.spotify.com/track/7Fz8qYsfyRfUCKCzdiCiaV
41,"Kiss Me More (feat. SZA)","Doja Cat",1094937,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
42,"Ohne Dich",KASIMIR1441,1079382,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
43,Run,OneRepublic,1068081,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
44,"Head & Heart (feat. MNEK)","Joel Corry",1023922,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
45,"Girls Like Us","Zoe Wees",1003123,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
46,"KIDS FROM THE BLOCK",Luciano,997655,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF
47,ZART,Nimo,990179,https://open.spotify.com/track/1WUXlAFlKIu7fixKZvQECX
48,"Drei Uhr Nachts","Mark Forster",969888,https://open.spotify.com/track/58GxgFEG5uHc9oMhofuuIP
49,"Ti Harro",Azet,956067,https://open.spotify.com/track/0WixzPVNqTdkvkm8WyBKxE
50,"Fireworks (feat. Moss Kena & The Knocks)","Purple Disco Machine",953627,https://open.spotify.com/track/1kTlT3phtU2yqTJYT1x6hb
51,BED,"Joel Corry",952434,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
52,3065,"AK AUSSERKONTROLLE",929089,https://open.spotify.com/track/4tow4iBkVBJvmvMohCygQH
53,Butter,BTS,907664,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
54,"White Lies",VIZE,902387,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
55,Redlight,Glockenbach,900810,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
56,"Save Your Tears","The Weeknd",885040,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
57,"Blinding Lights","The Weeknd",865838,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
58,"Little Bit of Love","Tom Grennan",862955,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
59,Magia,"Alvaro Soler",838977,https://open.spotify.com/track/3KJ1QkwWObfuq54pgwTRyW
60,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,838573,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
