,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Petrouchka (feat. PLK)","Soso Maness",810147,https://open.spotify.com/track/03y045SZqaC94yfXl1cU4E
2,"La kiffance",Naps,475348,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe
3,Bobo,"Aya Nakamura",314729,https://open.spotify.com/track/6wL9pSXJ4roDSEoBpYyQy7
4,"La Seleçao",Alonzo,293879,https://open.spotify.com/track/2vd2HEhrkafOi2uveHjzzh
5,"Afro Trap Part. 11 (King Kong)",MHD,268195,https://open.spotify.com/track/62nJqZs3Qs7DGUto35dVUv
6,"MONTERO (Call Me By Your Name)","Lil Nas X",262328,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
7,Bimbo,"Marwa Loud",223797,https://open.spotify.com/track/3ieLcaMIyl1Avm7JtHSk0d
8,HAINE&SEX,Gazo,208436,https://open.spotify.com/track/6Vcxzw4ifKqYxVrp3ckpVF
9,"Iko Iko (My Bestie)","Justin Wellington",188716,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
10,"A Un Paso De La Luna - Remix",Reik,180685,https://open.spotify.com/track/6EQR7Y5vVZFiPD0RUECIDv
11,"Jolie madame (feat. Ronisia)","Joé Dwèt Filé",180563,https://open.spotify.com/track/6gblTHN7eKFPvm4XxnYhl8
12,"Vroum Vroum","Moha K",179828,https://open.spotify.com/track/1TmuaS1lnCUf7yCLk2hwDT
13,"Le temps",Tayc,171582,https://open.spotify.com/track/360oH1CqXe9XXzbbi6hvyr
14,"Calabria (feat. Lujavo & Nito-Onna)",DMNDS,165238,https://open.spotify.com/track/3M89zvwwb1jtDUDKYNsdiA
15,"Σ. MOROSE",Damso,161462,https://open.spotify.com/track/0fukO3WYYUHaXOrvEohpEG
16,"La danse des bandits",Naps,159071,https://open.spotify.com/track/3bGGvbwbhq9kIMhHaXBdYL
17,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",153146,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
18,"Alors la zone",Jul,149899,https://open.spotify.com/track/3JuVcIgT9s0uvbmuQCyClB
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,146190,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,"Mode Akimbo (feat. Jul)",SCH,142191,https://open.spotify.com/track/7qezIDRM0E3WTW1lWxItug
21,Casanova,Were-vana,141329,https://open.spotify.com/track/5xriTc82DdSAGToWcixBKf
22,"Kiss Me More (feat. SZA)","Doja Cat",139704,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
23,"Eté 90","Therapie TAXI",139476,https://open.spotify.com/track/1p9dxTMtG4gZpLp7yzvT54
24,"Mon poto - Extrait de la BO de « En Passant Pécho »",Kore,137759,https://open.spotify.com/track/5qFOdxS3v8Dny9T4p2CUIy
25,"Bande organisée","13 Organisé",136523,https://open.spotify.com/track/717QGTmZdkemDaCo1vQHG0
26,"good 4 u","Olivia Rodrigo",133368,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
27,"Mona Lisa",Booba,130168,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f
28,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",125344,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
