,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Petrouchka (feat. PLK)","Soso Maness",4999147,https://open.spotify.com/track/03y045SZqaC94yfXl1cU4E
2,"La kiffance",Naps,3638988,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe
3,"La Seleçao",Alonzo,2363137,https://open.spotify.com/track/2vd2HEhrkafOi2uveHjzzh
4,Bobo,"Aya Nakamura",2312311,https://open.spotify.com/track/6wL9pSXJ4roDSEoBpYyQy7
5,"MONTERO (Call Me By Your Name)","Lil Nas X",1895456,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
6,"Afro Trap Part. 11 (King Kong)",MHD,1737407,https://open.spotify.com/track/62nJqZs3Qs7DGUto35dVUv
7,HAINE&SEX,Gazo,1707233,https://open.spotify.com/track/6Vcxzw4ifKqYxVrp3ckpVF
8,"Le temps",Tayc,1496446,https://open.spotify.com/track/360oH1CqXe9XXzbbi6hvyr
9,Bimbo,"Marwa Loud",1478669,https://open.spotify.com/track/3ieLcaMIyl1Avm7JtHSk0d
10,"Vroum Vroum","Moha K",1452826,https://open.spotify.com/track/6sRPU30pj9A6G1pBXqzQkM
11,"Jolie madame (feat. Ronisia)","Joé Dwèt Filé",1330565,https://open.spotify.com/track/6gblTHN7eKFPvm4XxnYhl8
12,"Σ. MOROSE",Damso,1250947,https://open.spotify.com/track/0fukO3WYYUHaXOrvEohpEG
13,"La danse des bandits",Naps,1217131,https://open.spotify.com/track/3bGGvbwbhq9kIMhHaXBdYL
14,"Iko Iko (My Bestie)","Justin Wellington",1184005,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
15,"good 4 u","Olivia Rodrigo",1125495,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
16,"Mode Akimbo (feat. Jul)",SCH,1118602,https://open.spotify.com/track/7qezIDRM0E3WTW1lWxItug
17,"Mon poto - Extrait de la BO de « En Passant Pécho »",Kore,1106168,https://open.spotify.com/track/5qFOdxS3v8Dny9T4p2CUIy
18,"Les derniers marioles (feat. SCH)","Soso Maness",1095079,https://open.spotify.com/track/3nfSwkMLwFT49PIRDBG6CZ
19,"A Un Paso De La Luna - Remix",Reik,1071504,https://open.spotify.com/track/6EQR7Y5vVZFiPD0RUECIDv
20,"Eté 90","Therapie TAXI",1051398,https://open.spotify.com/track/1p9dxTMtG4gZpLp7yzvT54
21,Casanova,Were-vana,1046982,https://open.spotify.com/track/5xriTc82DdSAGToWcixBKf
22,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1044717,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
23,"Calabria (feat. Lujavo & Nito-Onna)",DMNDS,1022176,https://open.spotify.com/track/3M89zvwwb1jtDUDKYNsdiA
24,"Mona Lisa",Booba,1019376,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f
25,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,1014577,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
26,Sapapaya,L'Algérino,1006028,https://open.spotify.com/track/4IvNSJPXA59xpA6G3XxCuR
27,"Bande organisée","13 Organisé",996768,https://open.spotify.com/track/717QGTmZdkemDaCo1vQHG0
28,"Puta Madre (feat. Jul)","Soso Maness",973931,https://open.spotify.com/track/76YbjMIB74nqaSSlmx5zLx
29,"Kiss Me More (feat. SZA)","Doja Cat",919784,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
30,"Elle m'a dit","Dj Quick",867571,https://open.spotify.com/track/3KSFpDJaIxRMPXbkW4QpY2
31,"Goosebumps - Remix","Travis Scott",839848,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
32,Champion,"Serge Ibaka",834324,https://open.spotify.com/track/7moGDROshDKDpuQxtQ3q4m
33,"GIRL LIKE ME","Black Eyed Peas",813602,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
34,"Wasted Love (feat. Lagique)",Ofenbach,806941,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
35,"Girls Like Us","Zoe Wees",806921,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
36,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",801088,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
37,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",799360,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
38,Fever,"Dua Lipa",770228,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
39,"DLB 13","Soso Maness",760811,https://open.spotify.com/track/64v5RSiSNrlLHRoynPHhQ3
