,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,NASA,Rack,114777,https://open.spotify.com/track/1dBqiQ1TU3MpgnR84gi1BQ
2,Anthem,Immune,37445,https://open.spotify.com/track/5sCiSMu4nWKgKQlHVyEaQq
3,Mporei,"Mad Clip",36328,https://open.spotify.com/track/7raprblR3NfeuiV72Lz5Il
4,"Woo Walk",Light,33299,https://open.spotify.com/track/7zWzNwjF8nsGnQq3mJiG13
5,"Ti Fovasai",Light,33109,https://open.spotify.com/track/5Gk1WhWoRgy9feTvLT9RWK
6,"ZITTI E BUONI",Måneskin,30668,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
7,COCO,Trannos,30278,https://open.spotify.com/track/6yOg1Tt1ELOWseyPg2vEos
8,"Dokimase Ton",Saske,28348,https://open.spotify.com/track/2Jr5Z8VTNa3bPAlbBk6n6k
9,Kokaina,TOQUEL,27924,https://open.spotify.com/track/0mBpzm8OfmBouihZ54biML
10,Shorty,Light,27809,https://open.spotify.com/track/6W11qt0cfGVx7ZOEYNrSYX
11,"XCM (Xapiacocomayro)",Bossikan,27303,https://open.spotify.com/track/1n5p8hMkO5RJsePA9NFi9x
12,"Thelei Tattoo",Rack,26636,https://open.spotify.com/track/5H9XGo7LFHgTy0vbnOlwaf
13,Kathikon,Rack,26634,https://open.spotify.com/track/5tQrjxSC13DsAxFQ6aMUhV
14,Prestige,Rack,26558,https://open.spotify.com/track/4gFO7c2q8Iku8bjylseQzT
15,Goodfella,Light,26486,https://open.spotify.com/track/3fCMmmmbmhCbSwVQhPeTpW
16,Sonic,Light,25173,https://open.spotify.com/track/1bRw06D8CPwN7ycLIXHFbP
17,Cc,Light,24488,https://open.spotify.com/track/07qyw1D9R324YyFNZGUUdl
18,Rollie,TOQUEL,23018,https://open.spotify.com/track/1rL4mn6pBrQsLeQLf4mnEX
19,"Free Lupo",Rack,22725,https://open.spotify.com/track/5TueXI8JVK0J81hVsXNMIE
20,Beggin',Måneskin,22575,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
21,Block,Light,21997,https://open.spotify.com/track/2j4EZlzum9PZXiZBySurpt
22,"I WANNA BE YOUR SLAVE",Måneskin,21435,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
23,Cartier,Light,20968,https://open.spotify.com/track/2X0XWgfTRhv6RkUc1kuzcd
24,Diamanti,SNIK,20262,https://open.spotify.com/track/6qPU5i85Wh5UBy9MaaGIuJ
25,"Full Press",Bossikan,18825,https://open.spotify.com/track/1AJrznrjCng2wX8dy4LGXk
26,Anexartita,Light,18768,https://open.spotify.com/track/61G0ze9vR455Cdze3XSWqT
27,"MONTERO (Call Me By Your Name)","Lil Nas X",18278,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
28,"good 4 u","Olivia Rodrigo",17346,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
29,Ttg,Light,17164,https://open.spotify.com/track/2VtwLRUgXEebI1DTGJTOCb
30,Xares,Light,16884,https://open.spotify.com/track/6LlFw8LxQeQNcSvy9lKRI2
31,Amnesia,Sigma,16320,https://open.spotify.com/track/7AeJhLrw5gWEh2p0yQKAGE
32,"BCC Gang",Rack,15762,https://open.spotify.com/track/15UvmYxbkwDKmRm2Y9TWuU
33,Davay,Rack,15135,https://open.spotify.com/track/54EXZcuRYIFW75Y5Bxenxt
34,Diamantia,"Sin Laurent",14376,https://open.spotify.com/track/3dQasgX8yPD2OxGsEyvBWs
35,Eksw,Light,14125,https://open.spotify.com/track/4IGxuQOJbbKGq597JunGDQ
36,"Blow Up",Light,12988,https://open.spotify.com/track/0h1p5hFcJQCEe0ER0wU0dv
