,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ti Fovasai",Light,434281,https://open.spotify.com/track/5Gk1WhWoRgy9feTvLT9RWK
2,"Woo Walk",Light,430578,https://open.spotify.com/track/7zWzNwjF8nsGnQq3mJiG13
3,Goodfella,Light,411757,https://open.spotify.com/track/3fCMmmmbmhCbSwVQhPeTpW
4,Sonic,Light,379431,https://open.spotify.com/track/1bRw06D8CPwN7ycLIXHFbP
5,Cc,Light,368294,https://open.spotify.com/track/07qyw1D9R324YyFNZGUUdl
6,Cartier,Light,354013,https://open.spotify.com/track/2X0XWgfTRhv6RkUc1kuzcd
7,Shorty,Light,351307,https://open.spotify.com/track/6W11qt0cfGVx7ZOEYNrSYX
8,Block,Light,335868,https://open.spotify.com/track/2j4EZlzum9PZXiZBySurpt
9,NASA,Rack,313677,https://open.spotify.com/track/1dBqiQ1TU3MpgnR84gi1BQ
10,Ttg,Light,294679,https://open.spotify.com/track/2VtwLRUgXEebI1DTGJTOCb
11,"ZITTI E BUONI",Måneskin,285682,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
12,Xares,Light,281694,https://open.spotify.com/track/6LlFw8LxQeQNcSvy9lKRI2
13,Mporei,"Mad Clip",278688,https://open.spotify.com/track/7raprblR3NfeuiV72Lz5Il
14,"Blow Up",Light,254641,https://open.spotify.com/track/0h1p5hFcJQCEe0ER0wU0dv
15,Eksw,Light,236314,https://open.spotify.com/track/4IGxuQOJbbKGq597JunGDQ
16,COCO,Trannos,234095,https://open.spotify.com/track/6yOg1Tt1ELOWseyPg2vEos
17,Kokaina,TOQUEL,215968,https://open.spotify.com/track/0mBpzm8OfmBouihZ54biML
18,Kathikon,Rack,200535,https://open.spotify.com/track/5tQrjxSC13DsAxFQ6aMUhV
19,Prestige,Rack,192632,https://open.spotify.com/track/4gFO7c2q8Iku8bjylseQzT
20,"I WANNA BE YOUR SLAVE",Måneskin,182383,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
21,"Dokimase Ton",Saske,181674,https://open.spotify.com/track/2Jr5Z8VTNa3bPAlbBk6n6k
22,"Thelei Tattoo",Rack,180396,https://open.spotify.com/track/5H9XGo7LFHgTy0vbnOlwaf
23,Beggin',Måneskin,169266,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
24,"Free Lupo",Rack,165430,https://open.spotify.com/track/5TueXI8JVK0J81hVsXNMIE
25,Diamanti,SNIK,158322,https://open.spotify.com/track/6qPU5i85Wh5UBy9MaaGIuJ
26,Anexartita,Light,154640,https://open.spotify.com/track/61G0ze9vR455Cdze3XSWqT
27,Rollie,TOQUEL,146451,https://open.spotify.com/track/1rL4mn6pBrQsLeQLf4mnEX
28,"good 4 u","Olivia Rodrigo",138760,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
29,"MONTERO (Call Me By Your Name)","Lil Nas X",134820,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
30,"Full Press",Bossikan,132948,https://open.spotify.com/track/1AJrznrjCng2wX8dy4LGXk
31,Amnesia,Sigma,112087,https://open.spotify.com/track/7AeJhLrw5gWEh2p0yQKAGE
32,"El Diablo","Elena Tsagrinou",111570,https://open.spotify.com/track/0DGduxy7YSuqXm272C2LM6
33,"BCC Gang",Rack,110104,https://open.spotify.com/track/15UvmYxbkwDKmRm2Y9TWuU
34,Voodoo,Light,107986,https://open.spotify.com/track/6tGl1mj5CyoB1hUtOKyhkQ
35,Davay,Rack,106600,https://open.spotify.com/track/54EXZcuRYIFW75Y5Bxenxt
36,Diamantia,"Sin Laurent",103123,https://open.spotify.com/track/3dQasgX8yPD2OxGsEyvBWs
37,Baby,"Mad Clip",100662,https://open.spotify.com/track/7goj1fS7fV4dvc91RvuoBw
38,Lohos,Rack,100358,https://open.spotify.com/track/29b9psRs9YwoybdKWvGjmE
39,Gymni,Light,100065,https://open.spotify.com/track/0Vo6x7xCIqQlnm2XbLZ6mF
40,"Levitating (feat. DaBaby)","Dua Lipa",96442,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
41,Alitheies,Rack,93453,https://open.spotify.com/track/71ZdZWRRHloiqNP3SjvuuR
42,"Mana Signomi",Rack,92975,https://open.spotify.com/track/443zjmQbb2w0s0hg6WnQUj
43,"Astronaut In The Ocean","Masked Wolf",92411,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
44,Hroma,Rack,85373,https://open.spotify.com/track/74dlWhbyR61UafvcXIrOZr
45,Anthem,Immune,84162,https://open.spotify.com/track/5sCiSMu4nWKgKQlHVyEaQq
