,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Butter,BTS,343725,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
2,ドライフラワー,優里,255845,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J
3,Dynamite,BTS,248914,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
4,きらり,"Fujii Kaze",211153,https://open.spotify.com/track/3ciqhcLmXP4hVGBD98QlEj
5,怪物,YOASOBI,209949,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi
6,夜に駆ける,YOASOBI,208727,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
7,"Pale Blue","Kenshi Yonezu",201282,https://open.spotify.com/track/52RfEh76AVKPwtUtTV9ufl
8,勿忘,"Awesome City Club",193323,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h
9,群青,YOASOBI,183606,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk
10,踊,Ado,180779,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l
11,もう少しだけ,YOASOBI,173547,https://open.spotify.com/track/2pXmohBUnD5Li93sgpbPSg
12,怪盗,"back number",171952,https://open.spotify.com/track/10Eyo4juZQFthKqlJgGMdp
13,"Cry Baby","Official HIGE DANdism",164744,https://open.spotify.com/track/7vBX6cVsCPFSx2C58hpZ4f
14,不思議,"Gen Hoshino",158723,https://open.spotify.com/track/6NKn02oJDkUkRa9IHbMe3n
15,うっせぇわ,Ado,143088,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n
16,"Film out",BTS,138026,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
17,"Stand by me, Stand by you.",HIRAIDAI,136351,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh
18,"Bluma to Lunch","BLOOM VASE",135089,https://open.spotify.com/track/3EYWY7XBj1BkCKX3R3hoZk
19,虹,"Masaki Suda",134207,https://open.spotify.com/track/7AIj86wFWqm7X1TZ2hzHwS
20,"Kaikai Kitan",Eve,133264,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos
21,魔法の絨毯,"Takaya Kawasaki",129566,https://open.spotify.com/track/37IPQgBkvbmH9JR5mlY6a8
22,春を告げる,yama,128721,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
23,アンコール,YOASOBI,128024,https://open.spotify.com/track/465JzFiajJO59sUrDFsxdC
24,炎,LiSA,127145,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn
25,ギラギラ,Ado,125399,https://open.spotify.com/track/7D7GCO3CtDT1WDcj2W5VDV
26,ハルジオン,YOASOBI,125175,https://open.spotify.com/track/08YwAPnX8sygJUXG9rvhDv
27,ハルカ,YOASOBI,122117,https://open.spotify.com/track/5D9MPWdY2hjSeTIGE5n5kv
28,裸の心,Aimyon,119951,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ
29,napori,Vaundy,119070,https://open.spotify.com/track/5Ym4egUmT9wHEvZM2anGG8
30,猫,DISH//,117176,https://open.spotify.com/track/6sIx7Cn37DGEhjy9hBP8Gx
31,Renegades,"ONE OK ROCK",115774,https://open.spotify.com/track/3RpFwqdROrxJvHywpT1pJ4
32,Pretender,"Official HIGE DANdism",114198,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
33,感電,"Kenshi Yonezu",113853,https://open.spotify.com/track/6H0PLsSYMzDOqhLgyOlzIj
34,"Take a picture",NiziU,113489,https://open.spotify.com/track/0iEzzJ3zmNQqATy2MilumS
35,かくれんぼ,優里,112882,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ
