,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Butter,BTS,2533019,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
2,ドライフラワー,優里,1916289,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J
3,Dynamite,BTS,1808458,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
4,夜に駆ける,YOASOBI,1566142,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
5,きらり,"Fujii Kaze",1544444,https://open.spotify.com/track/3ciqhcLmXP4hVGBD98QlEj
6,怪物,YOASOBI,1527410,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi
7,"Pale Blue","Kenshi Yonezu",1526946,https://open.spotify.com/track/52RfEh76AVKPwtUtTV9ufl
8,勿忘,"Awesome City Club",1457857,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h
9,群青,YOASOBI,1358447,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk
10,怪盗,"back number",1295683,https://open.spotify.com/track/10Eyo4juZQFthKqlJgGMdp
11,踊,Ado,1292712,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l
12,もう少しだけ,YOASOBI,1290635,https://open.spotify.com/track/2pXmohBUnD5Li93sgpbPSg
13,不思議,"Gen Hoshino",1164955,https://open.spotify.com/track/6NKn02oJDkUkRa9IHbMe3n
14,"Cry Baby","Official HIGE DANdism",1161845,https://open.spotify.com/track/7vBX6cVsCPFSx2C58hpZ4f
15,うっせぇわ,Ado,1087488,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n
16,"Stand by me, Stand by you.",HIRAIDAI,1031896,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh
17,"Bluma to Lunch","BLOOM VASE",1029221,https://open.spotify.com/track/3EYWY7XBj1BkCKX3R3hoZk
18,虹,"Masaki Suda",994969,https://open.spotify.com/track/7AIj86wFWqm7X1TZ2hzHwS
19,"Kaikai Kitan",Eve,974527,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos
20,魔法の絨毯,"Takaya Kawasaki",969261,https://open.spotify.com/track/37IPQgBkvbmH9JR5mlY6a8
21,アンコール,YOASOBI,951469,https://open.spotify.com/track/465JzFiajJO59sUrDFsxdC
22,炎,LiSA,931187,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn
23,春を告げる,yama,923648,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
24,ハルジオン,YOASOBI,922050,https://open.spotify.com/track/08YwAPnX8sygJUXG9rvhDv
25,ギラギラ,Ado,910873,https://open.spotify.com/track/7D7GCO3CtDT1WDcj2W5VDV
26,Renegades,"ONE OK ROCK",904315,https://open.spotify.com/track/3RpFwqdROrxJvHywpT1pJ4
27,"Film out",BTS,903885,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
28,napori,Vaundy,903491,https://open.spotify.com/track/5Ym4egUmT9wHEvZM2anGG8
29,ハルカ,YOASOBI,899887,https://open.spotify.com/track/5D9MPWdY2hjSeTIGE5n5kv
30,裸の心,Aimyon,888165,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ
31,"Take a picture",NiziU,882945,https://open.spotify.com/track/0iEzzJ3zmNQqATy2MilumS
32,"Broken Heart of Gold","ONE OK ROCK",872620,https://open.spotify.com/track/5DLqCKIi1lquKvGTIjlf6I
33,猫,DISH//,858182,https://open.spotify.com/track/6sIx7Cn37DGEhjy9hBP8Gx
34,かくれんぼ,優里,851374,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ
35,Pretender,"Official HIGE DANdism",832408,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
36,感電,"Kenshi Yonezu",827779,https://open.spotify.com/track/6H0PLsSYMzDOqhLgyOlzIj
37,桜が降る夜は,Aimyon,823906,https://open.spotify.com/track/1iEsGutpDvMJG0zYqoKKmQ
38,不可幸力,Vaundy,821910,https://open.spotify.com/track/18nkY3pJTub8WwEGiQAGh4
39,"猫 〜THE FIRST TAKE ver.〜",DISH//,804264,https://open.spotify.com/track/25BJRpLBe3i6d8okphoRAm
40,115万キロのフィルム,"Official HIGE DANdism",801399,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
41,"Make you happy",NiziU,795157,https://open.spotify.com/track/1LnJVIG1BaHTRznuOgR0yc
42,たぶん,YOASOBI,787216,https://open.spotify.com/track/398dL22bDbKbAmiOnPaq7o
43,白日,"King Gnu",785437,https://open.spotify.com/track/172fMG26G2OoEzzg0wn26r
44,"Walking with you",Novelbright,776654,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
45,"I Love...","Official HIGE DANdism",751219,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb
46,点描の唄,"Mrs. GREEN APPLE",741306,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
47,恋人ごっこ,"Macaroni Empitsu",727441,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO
48,"One Last Kiss","Hikaru Utada",718993,https://open.spotify.com/track/5RhWszHMSKzb7KiXk4Ae0M
49,"Poppin' Shakin'",NiziU,716951,https://open.spotify.com/track/0jfFu1W96AlrsMqXSZZlSt
50,"snow jam",Rin音,715495,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
51,YOKAZE,"HENTAI SHINSHI CLUB",545069,https://open.spotify.com/track/6tkSMR8bEIfEcJn7ybJtSP
52,愛を知るまでは,Aimyon,511353,https://open.spotify.com/track/5gh0y6ZmuppQvoPbAGkeE2
53,ツキミソウ,Novelbright,504788,https://open.spotify.com/track/6sElEqOIGENWjpxGFeo5ct
54,CITRUS,Da-iCE,494089,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR
55,ピーターパン,優里,467204,https://open.spotify.com/track/0Ic9yiyHCoRCSvPoqTagat
56,"Life Goes On",BTS,442513,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
57,"PINK BLOOD","Hikaru Utada",437891,https://open.spotify.com/track/39lq5gU4lPc0rYVaRo0stH
58,"Kura Kura",TWICE,437524,https://open.spotify.com/track/0SiX8tNiIZskZrPiAh6XxX
59,Mela!,"Ryokuoushoku Shakai",434363,https://open.spotify.com/track/6IO5nn84TKArsi3cjpIqaD
60,"Boy With Luv (feat. Halsey)",BTS,425187,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
61,10月無口な君を忘れる,あたらよ,419500,https://open.spotify.com/track/006u4CXVO2cusq08RrMElQ
62,春泥棒,ヨルシカ,416456,https://open.spotify.com/track/1rr2DJOxV0sHXeUXCAz1yf
63,分かってないよ,WurtS,415779,https://open.spotify.com/track/5wosJVYKzl3g7XElM98m23
64,優しい彗星,YOASOBI,401290,https://open.spotify.com/track/19fhOFi6pNGeZe5uiFlm7c
65,"Step and a step",NiziU,396300,https://open.spotify.com/track/5DgAgJbHcm74RyA9YKj6k1
66,マリーゴールド,Aimyon,395651,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
67,題名のない今日,HIRAIDAI,395144,https://open.spotify.com/track/6skNbV22epX2yHu4O2hYSx
68,あの夢をなぞって,YOASOBI,394427,https://open.spotify.com/track/5ptl2PXkiSth54HCuGO7vN
69,グッバイ宣言,Chinozo,394178,https://open.spotify.com/track/2gbVuqze7bpndIy1q9rFvv
70,怪獣の花唄,Vaundy,391454,https://open.spotify.com/track/4W29WmnGN1FlufURaBt8yw
71,Buddy,HIRAIDAI,390453,https://open.spotify.com/track/7xfPyBgb9om8iUooItxHl8
72,紅蓮華,LiSA,386141,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
73,世界の秘密,Vaundy,377653,https://open.spotify.com/track/2T7ZvJAtL7xK04ww5rbmvo
