,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",2393134,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"Kiss Me More (feat. SZA)","Doja Cat",1314092,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
3,"deja vu","Olivia Rodrigo",1264389,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
4,RAPSTAR,"Polo G",1201831,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
5,traitor,"Olivia Rodrigo",1187174,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
6,"Levitating (feat. DaBaby)","Dua Lipa",994716,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"MONTERO (Call Me By Your Name)","Lil Nas X",974785,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
8,"favorite crime","Olivia Rodrigo",937404,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
9,"Wants and Needs (feat. Lil Baby)",Drake,929936,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
10,happier,"Olivia Rodrigo",918170,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
11,Yonaguni,"Bad Bunny",879103,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
12,brutal,"Olivia Rodrigo",863732,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
13,"drivers license","Olivia Rodrigo",826202,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
14,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",748958,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
15,"Heat Waves","Glass Animals",746803,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
16,"Need To Know","Doja Cat",714771,https://open.spotify.com/track/10hcDov7xmcRviA8jLwEaI
17,"jealousy, jealousy","Olivia Rodrigo",712530,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
18,"Thot Shit","Megan Thee Stallion",682247,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
19,"Astronaut In The Ocean","Masked Wolf",672004,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
20,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,662345,https://open.spotify.com/track/1QL7nSDZCwZMnbisV4KOXt
21,"enough for you","Olivia Rodrigo",655425,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
22,"Todo De Ti","Rauw Alejandro",650994,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
23,"Having Our Way (feat. Drake)",Migos,644299,https://open.spotify.com/track/2NM0qHzx4Ohy8iXHEEgwlO
24,"No Return (with The Kid LAROI & Lil Durk)","Polo G",619496,https://open.spotify.com/track/23OYT3SFtoJqhiAUqktbc1
25,Butter,BTS,614735,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
26,"Leave The Door Open","Bruno Mars",613891,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
27,"Solar Power",Lorde,584807,https://open.spotify.com/track/3KdoeNlEN0BoAKWzaRLNZa
